set Af := 	  1     2 	 3	   4	 5 	   6	  7	     8;

set Al := AH ABH ABCDE ABCAB CDCA CDE CAH CABH CABCA CABCD DCA DCD DEF FGH FGAH FGABH FGABCA GH GAH GABH GABCA;

# UTILITY DEFENDER
param Ul:	    1     2 	 3	   4	 5 	   6	  7	     8 :=
	AH          1    -0.6  -0.1  -0.8  -0.3  -0.1   -0.5     1 
	ABH         1      1   -0.1  -0.8  -0.3  -0.1   -0.5     1  
	ABCDE       1      1   -0.1  -0.8  -0.3  -0.1   -0.5     1
	ABCAB       1      1   -0.1  -0.8  -0.3  -0.1   -0.5     1
	
	CDCA       -1    -0.6    1     1   -0.3  -0.1   -0.5   -1.5 
	CDE        -1    -0.6    1     1   -0.3  -0.1   -0.5   -1.5
	CAH         1    -0.6    1   -0.8  -0.3  -0.1   -0.5     1 
	CABH        1    -0.6    1   -0.8  -0.3  -0.1   -0.5     1
	CABCA       1    -0.6    1   -0.8  -0.3  -0.1   -0.5   -1.5
	CABCD       1    -0.6    1   -0.8  -0.3  -0.1   -0.5   -1.5
	
	DCA        -1    -0.6  -0.1    1   -0.3  -0.1   -0.5   -1.5   
	DCD        -1    -0.6  -0.1    1   -0.3  -0.1   -0.5   -1.5   
	DEF        -1    -0.6  -0.1    1     1   -0.1   -0.5   -1.5 
	 
	FGH        -1    -0.6  -0.1  -0.8  -0.3    1      1      1
	FGAH        1    -0.6  -0.1  -0.8  -0.3    1      1      1
	FGABH       1    -0.6  -0.1  -0.8  -0.3    1      1      1
	FGABCA      1    -0.6  -0.1  -0.8  -0.3    1      1    -1.5
	
	GH         -1    -0.6  -0.1  -0.8  -0.3  -0.1     1      1
	GAH         1    -0.6  -0.1  -0.8  -0.3  -0.1     1      1
	GABH        1    -0.6  -0.1  -0.8  -0.3  -0.1     1      1
	GABCA       1    -0.6  -0.1  -0.8  -0.3  -0.1     1      1
	;

# UTILITY ATTACKER

param Uf:	    1     2 	 3	   4	 5 	   6	  7	     8 :=
	AH          0     1.2   0.5   1.3   1.1   0.5    1.2     0
	ABH         0      0    0.5   1.3   1.1   0.5    1.2     0
	ABCDE       0      0    0.5   1.3   1.1   0.5    1.2     0
	ABCAB       0      0    0.5   1.3   1.1   0.5    1.2     0
	
	CDCA       1.5    1.2    0     0    1.1   0.5    1.2     2        
	CDE        1.5    1.2    0     0    1.1   0.5    1.2     2
	CAH         0     1.2    0    1.3   1.1   0.5    1.2     0
	CABH        0     1.2    0    1.3   1.1   0.5    1.2     0
	CABCA       0     1.2    0    1.3   1.1   0.5    1.2     2
	CABCD       0     1.2    0    1.3   1.1   0.5    1.2     2
	
	DCA        1.5    1.2   0.5    0    1.1   0.5    1.2     2 
	DCD        1.5    1.2   0.5    0    1.1   0.5    1.2     2 
	DEF        1.5    1.2   0.5    0     0    0.5    1.2     2 
	 
	FGH        1.5    1.2   0.5   1.3   1.1    0      0      0 
	FGAH        0     1.2   0.5   1.3   1.1    0      0      0 
	FGABH       0     1.2   0.5   1.3   1.1    0      0      0 
	FGABCA      0     1.2   0.5   1.3   1.1    0      0      2 
	
	GH         1.5    1.2   0.5   1.3   1.1   0.5     0      0 
	GAH         0     1.2   0.5   1.3   1.1   0.5     0      0
	GABH        0     1.2   0.5   1.3   1.1   0.5     0      0
	GABCA       0     1.2   0.5   1.3   1.1   0.5     0      0
	;


